room_count,bathroom_count,size,price,city,region
3.0,2.0,142.0,315.0,Tunis,L Aouina
3.0,2.0,142.0,330.0,Tunis,L Aouina
3.0,2.0,143.0,295.0,Tunis,L Aouina
2.0,1.0,108.0,259.999,Tunis,L Aouina
4.0,2.0,210.0,540.0,Tunis,El Manar 1
2.0,1.0,109.0,230.0,Tunis,L Aouina
1.0,1.0,90.0,215.0,Tunis,L Aouina
2.0,1.0,130.0,265.0,Tunis,El Manar 2
3.0,3.0,240.0,569.0,Ariana,Ennasr
3.0,1.0,90.0,120.0,Tunis,El Ouardia
2.0,1.0,65.0,49.0,Tunis,Hraria
3.0,1.0,200.0,610.0,Ariana,Cit Ennasr 2
3.0,1.0,100.0,200.0,Ariana,Ariana Ville
3.0,1.0,105.0,435.0,Tunis,L Aouina
4.0,2.0,107.0,180.0,Ben Arous,El Mourouj 6
2.0,1.0,70.0,170.0,Tunis,Tunis
2.0,1.0,121.91,500.0,Tunis,La Marsa
3.0,2.0,125.0,270.0,Tunis,L Aouina
2.0,1.0,114.0,290.0,Ariana,Cit Ennasr 2
2.0,1.0,64.0,178.0,Ariana,Cit Ennasr 2
3.0,1.0,170.0,250.0,Ben Arous,Borj Cedria
3.0,2.0,177.5,675.0,Tunis,Ain Zaghouan Nord
2.0,2.0,110.0,410.0,Tunis,Ain Zaghouan Nord
3.0,3.0,151.0,400.0,Ariana,Ariana Ville
3.0,1.0,144.0,550.0,Tunis,La Goulette
2.0,2.0,116.0,269.0,Ben Arous,Medina Jedida
3.0,2.0,170.0,520.0,Tunis,La Marsa
1.0,1.0,73.0,145.0,Ben Arous,El Mourouj 6
3.0,2.0,130.0,350.0,Tunis,L Aouina
3.0,2.0,136.0,530.0,Tunis,Jardins De Carthage
3.0,1.0,121.0,250.0,La Manouba,Manouba Ville
1.0,1.0,67.0,365.0,Tunis,Lac 2
3.0,0.0,157.0,320.0,Ben Arous,Boumhel
5.0,2.0,137.0,345.0,Tunis,Ain Zaghouen
2.0,2.0,94.0,280.0,Ariana,Riadh Andalous
3.0,2.0,110.0,170.0,Ariana,Ariana Ville
3.0,2.0,142.0,315.0,Tunis,L Aouina
3.0,2.0,150.0,360.0,Ariana,Riadh Andalous
3.0,2.0,143.0,294.999,Tunis,L Aouina
2.0,1.0,112.0,360.0,Tunis,Ain Zaghouen
3.0,2.0,165.0,700.0,Tunis,Ain Zaghouan Nord
3.0,2.0,106.0,225.0,Ariana,El Menzah 7
1.0,1.0,80.0,195.0,Ariana,El Menzah 7
8.0,3.0,159.0,360.0,Tunis,La Marsa
2.0,1.0,118.0,291.0,Tunis,L Aouina
2.0,3.0,125.0,310.0,Ariana,Ariana Essoughra
1.0,1.0,63.0,139.0,La Manouba,La Manouba
2.0,3.0,136.0,365.0,Ariana,Ennasr
2.0,1.0,103.0,240.0,Ariana,La Soukra
4.0,2.0,110.0,280.0,Ariana,Ghazela
5.0,2.0,140.0,162.0,Ariana,Ariana
2.0,1.0,117.0,265.0,Tunis,L Aouina
2.0,1.0,75.0,80.0,Tunis,Ksar Said
2.0,1.0,75.0,120.0,Tunis,Ksar Said
2.0,2.0,70.0,78.0,Tunis,Ksar Said
2.0,2.0,75.0,90.0,Tunis,Tunis
2.0,2.0,80.0,85.0,Tunis,Ksar Said
3.0,3.0,167.0,520.0,Tunis,L Aouina
2.0,1.0,105.0,137.0,Ben Arous,Hammam Lif
3.0,1.0,70.0,130.0,Ariana,Ariana Essoughra
2.0,1.0,126.0,280.0,Ben Arous,Hammam Chott
3.0,2.0,142.0,330.0,Tunis,L Aouina
3.0,1.0,70.0,130.0,Ariana,Ariana Essoughra
1.0,1.0,58.0,175.0,Tunis,L Aouina
6.0,2.0,230.0,400.0,Tunis,Ain Zaghouen
4.0,2.0,136.0,380.0,Tunis,L Aouina
2.0,1.0,109.0,380.0,Ariana,Chotrana 1
2.0,2.0,92.0,220.0,Ben Arous,Rads
7.0,3.0,498.0,700.0,Ben Arous,Medina Jedida
2.0,2.0,122.0,580.0,Tunis,Sidi Daoud
2.0,2.0,156.0,220.0,Tunis,Sidi Daoud
2.0,1.0,90.0,148.0,Ben Arous,El Mourouj 5
2.0,1.0,100.0,275.0,Tunis,Tunis
3.0,1.0,115.0,180.0,Ariana,Cit Hedi Nouira
3.0,2.0,168.0,325.0,Ariana,La Soukra
2.0,1.0,100.0,240.0,Ariana,Ennasr
1.0,1.0,85.0,210.0,Tunis,El Menzah 9
3.0,0.0,113.0,280.0,Ariana,Cit Ennasr 2
2.0,1.0,133.0,520.0,Tunis,Ain Zaghouan Nord
1.0,1.0,60.0,190.0,Tunis,Montplaisir
3.0,1.0,165.0,450.0,Tunis,Cit Olympique
1.0,1.0,45.0,135.0,Ariana,Cit Ennasr 2
2.0,2.0,127.0,405.0,Ariana,La Soukra
1.0,1.0,50.0,169.0,Tunis,L Aouina
3.0,1.0,80.0,180.0,Ariana,Raoued
2.0,1.0,90.0,220.0,Tunis,Menzah
1.0,1.0,50.0,180.0,Tunis,L Aouina
3.0,2.0,240.0,700.0,Tunis,Gammarth
2.0,1.0,85.0,110.0,Tunis,Sidi Hassine
4.0,2.0,180.0,495.0,Ariana,La Soukra
3.0,2.0,91.0,180.0,Tunis,Hraria
3.0,2.0,127.0,220.0,Ariana,Raoued
2.0,2.0,153.0,320.0,Ben Arous,Boumhel
4.0,2.0,207.0,470.0,Ariana,El Menzah 7
3.0,2.0,137.0,650.0,Ben Arous,Ezzahra
2.0,0.0,60.0,130.0,Ben Arous,Ezzahra
1.0,1.0,73.0,350.0,Tunis,Jardins De Carthage
3.0,2.0,140.0,600.0,Tunis,Ain Zaghouan Nord
3.0,1.0,100.0,220.0,Ariana,Ariana
2.0,1.0,127.0,350.0,Ariana,Ennasr
